# Call Trace and Most Frequently Executed Routines Generated By Pin
Total Executions: 0x98b
_ZN21ParticleFilterPthreadI13TrackingModelE20GenerateNewParticlesEi: 0x3 times
_ZNSt6vectorIS_IfSaIfEESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_: 0x3 times
__overflow: 0x3 times
open_path: 0x3 times
__libc_disable_asynccancel: 0x3 times
_dl_hwcaps_split.part.1: 0x3 times
_ZN7threads9ConditionD2Ev: 0x3 times
__enable_execute_stack: 0x3 times
_dl_receive_error: 0x3 times
_ZN13TrackingModel13LogLikelihoodERKSt6vectorIfSaIfEERbi: 0x3 times
_IO_setb: 0x3 times
str_to_mpn.isra.0: 0x3 times
_ZNSt6locale5_ImplC2Em: 0x3 times
_pthread_cleanup_pop: 0x3 times
__cxa_allocate_exception@plt: 0x3 times
_dl_debug_initialize: 0x3 times
_pthread_cleanup_push: 0x3 times
_dl_new_object: 0x3 times
fopen@plt: 0x3 times
sincos@plt: 0x3 times
malloc@plt: 0x3 times
_Z13FlexLoadBMP8uPKcR9FlexImageIhLi1EE: 0x3 times
_ZN7threads6Thread4JoinEv: 0x3 times
memset: 0x3 times
_ZN9FlexImageIhLi3EEC1Ev: 0x3 times
memcmp: 0x3 times
_Z11ConvertBmihP16tagBITMAPINFOHDR: 0x3 times
__lseek64: 0x3 times
_Z11ConvertBmfhP16tagBITMAPFILEHDR: 0x3 times
malloc_init_state: 0x3 times
_ZN12BodyGeometry21IntersectingCylindersER10KTCylinderS1_: 0x3 times
__lll_lock_wait: 0x3 times
_ZN7threads9ConditionC2ERNS_5MutexE: 0x3 times
__libc_sigaction: 0x3 times
_IO_wdo_write: 0x3 times
__GI_mprotect: 0x2 times
_IO_un_link: 0x2 times
_dl_audit_objopen: 0x2 times
_Z14isLittleEndianv: 0x2 times
__mprotect: 0x2 times
cache_rpath.part.8: 0x2 times
round_away: 0x2 times
__GI___fxstat: 0x2 times
_IO_unsave_markers: 0x2 times
search_cache: 0x2 times
save_for_backup: 0x2 times
_IO_doallocbuf: 0x2 times
_dl_sort_maps: 0x2 times
_IO_do_write: 0x2 times
_dl_scope_free: 0x2 times
__mpn_construct_float: 0x2 times
__mpn_cmp: 0x2 times
__malloc_assert: 0x2 times
tcache_init.part.7: 0x2 times
__lll_unlock_wake: 0x2 times
_IO_file_open: 0x2 times
__open_nocancel: 0x2 times
_IO_free_backup_area: 0x2 times
__printf_fp: 0x2 times
_IO_link_in: 0x2 times
_dl_vdso_vsym: 0x2 times
_IO_no_init: 0x2 times
__pthread_mutex_unlock_usercnt: 0x2 times
update_hwcaps_counts: 0x2 times
_dl_next_ld_env_entry: 0x2 times
allocate_dtv: 0x2 times
audit_list_add_string.part.2: 0x2 times
free: 0x2 times
_ZN7threads6ThreadC1ERNS_8RunnableE: 0x2 times
_ZNSt6vectorI10KTCylinderSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x2 times
_ZN15RandomGeneratorC2Ev: 0x2 times
_ZNK7threads11WorkerGroup4SizeEv: 0x2 times
_dl_add_to_slotinfo: 0x2 times
_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIP8BodyPoseS3_EET0_T_S5_S4_: 0x2 times
_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIP24MultiCameraProjectedBodyS3_EET0_T_S5_S4_: 0x2 times
_ZN7threads11WorkerGroup7RecvCmdEv: 0x2 times
_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIP12BodyGeometryS3_EET0_T_S5_S4_: 0x2 times
_ZN7threads11WorkerGroup6AckCmdEv: 0x2 times
_ZN7threads11WorkerGroup15SendInternalCmdEi: 0x2 times
_ZN20TrackingModelPthread13CreateEdgeMapER9FlexImageIhLi1EES2_: 0x2 times
mmap: 0x2 times
_ZNKSt7collateIcE12do_transformEPKcS2_: 0x2 times
open_verify.constprop.9: 0x2 times
_ZNSo9_M_insertIdEERSoT_@plt: 0x2 times
_ZN21ParticleFilterPthreadI13TrackingModelE11CalcWeightsERSt6vectorIS2_IfSaIfEESaIS4_EE: 0x2 times
__strsep_g: 0x2 times
_ZN24MultiCameraProjectedBody15ImageProjectionERK12BodyGeometryR11MultiCamera: 0x2 times
_ZN6Camera10LoadParamsEPKc: 0x2 times
pthread_mutex_unlock@plt: 0x2 times
_ZN9FlexImageIhLi1EE12DecReferenceEv: 0x2 times
_dl_audit_objclose: 0x2 times
_Z9ValidRect6FISizeRiS0_S0_S0_: 0x2 times
_ZN12BodyGeometry15ComputeGeometryER8BodyPoseR14BodyParameters: 0x2 times
copy_hwcaps.isra.1: 0x2 times
create_thread: 0x2 times
_ZN9FlexImageIhLi1EE10ReallocateEii: 0x2 times
_ZN9FlexImageIhLi1EE8AllocateEv: 0x2 times
_ZN9FlexImageIhLi1EEC1E6FISize: 0x2 times
deregister_tm_clones: 0x2 times
_ZNSt6vectorI9FlexImageIhLi1EESaIS1_EEaSERKS3_: 0x2 times
_dl_assign_tls_modid: 0x2 times
_ZNSt6vectorI7Vector3IfESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_: 0x2 times
pthread_cond_wait@plt: 0x2 times
expand_dynamic_string_token: 0x2 times
_ZN7threads9Condition9NotifyOneEv: 0x2 times
_ZN9FlexImageIhLi3EE12DecReferenceEv: 0x2 times
_ZN7threads9Condition4WaitEv: 0x2 times
_ZNSt6vectorI11BinaryImageSaIS0_EEaSERKS2_: 0x2 times
_dl_important_hwcaps: 0x1 times
_dl_count_modids: 0x1 times
_dl_map_object_from_fd: 0x1 times
_dl_map_object_deps: 0x1 times
_dl_mcount_wrapper_check: 0x1 times
_dl_discover_osversion: 0x1 times
_dl_map_object: 0x1 times
_dl_fixup: 0x1 times
_dl_lookup_direct: 0x1 times
_dl_higher_prime_number: 0x1 times
_dl_process_pt_note: 0x1 times
_dl_hwcaps_contains: 0x1 times
_dl_load_cache_lookup: 0x1 times
_dl_protect_relro: 0x1 times
_dl_init_paths: 0x1 times
_dl_hwcaps_split: 0x1 times
_dl_determine_tlsoffset: 0x1 times
_dl_init: 0x1 times
_dl_hwcaps_subdirs_active: 0x1 times
getenv: 0x1 times
getrandom: 0x1 times
init_tls: 0x1 times
new_do_write: 0x1 times
new_heap: 0x1 times
pthread_barrier_destroy@plt: 0x1 times
pthread_barrier_init@plt: 0x1 times
pthread_barrier_wait@plt: 0x1 times
pthread_cond_broadcast@plt: 0x1 times
pthread_cond_destroy@plt: 0x1 times
pthread_cond_init@plt: 0x1 times
pthread_cond_signal@plt: 0x1 times
pthread_create@plt: 0x1 times
pthread_join@plt: 0x1 times
pthread_mutex_destroy@plt: 0x1 times
pthread_mutex_init@plt: 0x1 times
pthread_mutex_lock: 0x1 times
ptmalloc_init.part.0: 0x1 times
sbrk: 0x1 times
sysmalloc: 0x1 times
systrim.isra.1.constprop.11: 0x1 times
update_usable.constprop.2: 0x1 times
write: 0x1 times
_dl_sort_maps_init: 0x1 times
_dl_start: 0x1 times
_dl_sysdep_read_whole_file: 0x1 times
_dl_sysdep_start: 0x1 times
_dl_sysdep_start_cleanup: 0x1 times
_dl_tls_static_surplus_init: 0x1 times
_dl_unload_cache: 0x1 times
_dl_x86_init_cpu_features: 0x1 times
_exit: 0x1 times
_init: 0x1 times
_int_free: 0x1 times
_setjmp: 0x1 times
add_name_to_object.isra.5: 0x1 times
arena_get2.part.6: 0x1 times
arena_get_retry: 0x1 times
change_stack_perm: 0x1 times
clock_gettime: 0x1 times
context_free: 0x1 times
decompose_rpath.isra.7: 0x1 times
exit: 0x1 times
fillin_rpath: 0x1 times
get_common_indices.constprop.1: 0x1 times
get_free_list: 0x1 times
get_nprocs: 0x1 times
_ZN9FlexImageIhLi3EEC2Eii: 0x1 times
_ZN9FlexImageIhLi3EE8AllocateEv: 0x1 times
_ZN9FlexImageIhLi3EE14CreateSubImageERKS0_iiii: 0x1 times
_ZN9FlexImageIhLi3EE14CreateSubImageERKS0_RK6FIRect: 0x1 times
_ZN9FlexImageIhLi3EE10ReallocateE6FISize: 0x1 times
_ZN8BodyPose5ValidER10PoseParams: 0x1 times
_ZN8BodyPose10InitializeENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE: 0x1 times
_ZN7threads9Condition9NotifyAllEv: 0x1 times
_ZN7threads11WorkerGroupD2Ev: 0x1 times
_ZN7threads11WorkerGroupC2Ei: 0x1 times
_ZN7threads11WorkerGroup7JoinAllEv: 0x1 times
_ZN7threads11WorkerGroup11RegisterCmdEtRNS_10ThreadableE: 0x1 times
_ZN7threads11ThreadGroupC2Ev: 0x1 times
_ZN7threads11ThreadGroup13CreateThreadsEiRNS_8RunnableE: 0x1 times
_ZN21ParticleFilterPthreadI13TrackingModelED2Ev: 0x1 times
_ZN20TrackingModelPthreadD2Ev: 0x1 times
_ZN20TrackingModelPthreadC2ER15WorkPoolPthread: 0x1 times
_ZNSt6vectorI17ProjectedCylinderSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI17ImageMeasurementsSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI15RandomGeneratorSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI13ProjectedBodySaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI12BodyGeometrySaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI11BinaryImageSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6thread15_M_start_threadESt10shared_ptrINS_10_Impl_baseEE: 0x1 times
_ZNSt6locale5_Impl16_M_install_cacheEPKNS_5facetEm: 0x1 times
_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIP17ImageMeasurementsS3_EET0_T_S5_S4_: 0x1 times
_ZNSt14codecvt_bynameIcc11__mbstate_tED0Ev: 0x1 times
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct: 0x1 times
_ZNSirsERi@plt: 0x1 times
_ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE12_M_group_intEPKcmcRSt8ios_basePcS9_Ri: 0x1 times
_ZNKSt7__cxx117collateIcE12do_transformEPKcS3_: 0x1 times
_ZNKSt5ctypeIcE13_M_widen_initEv@plt: 0x1 times
_ZN9FlexImageIhLi3EEclEiiii: 0x1 times
_ZN9FlexImageIhLi3EEaSERKS0_: 0x1 times
_Z12mainPthreadsNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEiiiiib: 0x1 times
_Unwind_Resume: 0x1 times
_IO_wsetb: 0x1 times
_IO_vfprintf: 0x1 times
_IO_switch_to_main_get_area: 0x1 times
_IO_switch_to_get_mode: 0x1 times
_IO_str_init_static_internal: 0x1 times
_IO_sgetn: 0x1 times
_IO_old_init: 0x1 times
_IO_new_file_init_internal: 0x1 times
_IO_free_wbackup_area: 0x1 times
_IO_flush_all_lockp: 0x1 times
_IO_file_fopen: 0x1 times
_IO_file_close_it: 0x1 times
_IO_default_xsputn: 0x1 times
_IO_default_setbuf: 0x1 times
.plt.got: 0x1 times
_ZN20TrackingModelPthread14GetObservationEf: 0x1 times
_ZN17ImageMeasurements16ImageErrorInsideERSt6vectorI11BinaryImageSaIS1_EER24MultiCameraProjectedBody: 0x1 times
_ZN17ImageMeasurements14ImageErrorEdgeERSt6vectorI9FlexImageIhLi1EESaIS2_EER24MultiCameraProjectedBody: 0x1 times
_ZN16AsyncImageLoader7LoadSetERSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS6_EERS0_I11BinaryImageSaISA_EES9_RS0_I9FlexImageIhLi1EESaISF_EE: 0x1 times
_ZN16AsyncImageLoader15GetNextImageSetERSt6vectorI9FlexImageIhLi1EESaIS2_EERS0_I11BinaryImageSaIS6_EE: 0x1 times
_ZN14BodyParameters18InitBodyParametersENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE: 0x1 times
_ZN13TrackingModelC2Ev: 0x1 times
_ZN13TrackingModel9OutputBMPERKSt6vectorIfSaIfEEi: 0x1 times
_ZN13TrackingModel13SetNumThreadsEi: 0x1 times
_ZN13TrackingModel10InitializeERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEii: 0x1 times
_ZN12BodyGeometry5ValidEv: 0x1 times
_ZN10PoseParams10InitializeENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE: 0x1 times
_Z21GenerateStDevMatricesiR10PoseParamsRSt6vectorIS1_IfSaIfEESaIS3_EE: 0x1 times
_Z19BetaAnnealingFactorRSt6vectorIfSaIfEEfff: 0x1 times
_Z15FlexLoadBMPGrayPKcR9FlexImageIhLi1EE: 0x1 times
_Z14ProcessCmdLineiPPcRNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERiS8_S8_S8_S8_S8_Rb: 0x1 times
_Z13FlexSaveBMP8uILi3EEbPKcR9FlexImageIhXT_EE: 0x1 times
__sched_yield: 0x1 times
__sbrk: 0x1 times
__run_exit_handlers: 0x1 times
__rtld_malloc_init_stubs: 0x1 times
__rtld_malloc_init_real: 0x1 times
__rpc_thread_svc_cleanup: 0x1 times
__rpc_thread_destroy: 0x1 times
__resolv_context_freeres: 0x1 times
__res_thread_freeres: 0x1 times
__register_atfork: 0x1 times
__pthread_mutex_cond_lock: 0x1 times
__pthread_initialize_minimal: 0x1 times
__open64: 0x1 times
__nptl_deallocate_tsd.part.8: 0x1 times
__new_exitfn: 0x1 times
__mpn_extract_double: 0x1 times
__mpn_divrem: 0x1 times
_dl_check_map_versions: 0x1 times
_dl_check_all_versions: 0x1 times
_dl_cet_check: 0x1 times
_dl_call_libc_early_init: 0x1 times
_dl_audit_activity_map: 0x1 times
_dl_allocate_tls_storage: 0x1 times
_dl_allocate_tls_init: 0x1 times
_dl_addr_inside_object: 0x1 times
_dl_addr: 0x1 times
__xstat: 0x1 times
__write_nocancel: 0x1 times
__wcsmbs_load_conv: 0x1 times
__unregister_atfork: 0x1 times
__underflow: 0x1 times
__strerror_thread_freeres: 0x1 times
__strdup: 0x1 times
__setfpucw: 0x1 times
__access: 0x1 times
__GI_strstr: 0x1 times
__GI___tunables_init: 0x1 times
__GI___sigsetjmp: 0x1 times
_ZSt5flushIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_@plt: 0x1 times
_ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_.constprop.230: 0x1 times
_ZNSt8bad_castD1Ev@plt: 0x1 times
_ZNSt8__detail15_List_node_base7_M_hookEPS0_@plt: 0x1 times
_ZNSt7__cxx1115basic_stringbufIcSt11char_traitsIcESaIcEE7_M_syncEPcmm@plt: 0x1 times
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPKcEEvT_S8_St20forward_iterator_tag.isra.139: 0x1 times
_ZNSt6vectorIiSaIiEE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPiS1_EEmRKi: 0x1 times
_ZNSt6vectorIS_IfSaIfEESaIS1_EEaSERKS3_: 0x1 times
_ZNSt6vectorIPN7threads10ThreadableESaIS2_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS2_S4_EEmRKS2_: 0x1 times
_ZNSt6vectorI9FlexImageIhLi1EESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_: 0x1 times
_ZNSt6vectorI8BodyPoseSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI6CameraSaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
_ZNSt6vectorI24MultiCameraProjectedBodySaIS0_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS0_S2_EEmRKS0_: 0x1 times
__libc_start_main@plt: 0x1 times
__libc_scratch_buffer_set_array_size: 0x1 times
__libc_dlerror_result_free: 0x1 times
__libc_alloca_cutoff: 0x1 times
__init_misc: 0x1 times
__guess_grouping.part.0: 0x1 times
__free_tcb: 0x1 times
__dynamic_cast@plt: 0x1 times
__dynamic_cast: 0x1 times
__cxa_end_catch@plt: 0x1 times
__cxa_begin_catch@plt: 0x1 times
__cxa_bad_cast@plt: 0x1 times
__cxa_atexit: 0x1 times
__cpu_indicator_init: 0x1 times
__condvar_dec_grefs: 0x1 times
__condvar_confirm_wakeup: 0x1 times
__call_tls_dtors: 0x1 times
__assert_fail: 0x1 times
# eof
